,Name,Summary,Stock Type,Site,Market Cap,Net Income,Sales,Employees,Sector,Industry
NTZ,Natuzzi SPA ADR,"Natuzzi SPA designs, manufactures and sells contemporary and traditional leather & fabric-upholstered furniture including sofas, loveseats, armchairs, sectional furniture, motion furniture and sofa beds, living room furnishings and accessories.",,http://www.natuzzi.com,86.7Mil,-5.2Mil,0.5Bil,"5,641",Consumer Cyclical,Home Furnishings & Fixtures
NLS,Nautilus Inc,"Nautilus Inc is a consumer fitness products company. It provides solutions to help people a fit & healthy lifestyle. It is engaged in designing, developing, sourcing & marketing of cardio & strength fitness products & related accessories for consumer use.",Cyclical,http://www.nautilusinc.com,0.5Bil,32.3Mil,0.4Bil,470,Consumer Cyclical,Leisure
NCI,Navigant Consulting Inc,"Navigant Consulting Inc is an independent professional services firm. The Company provides professional services to clients in the disputes, investigations & economics, financial, risk & compliance, healthcare and energy.",Cyclical,http://www.navigant.com,1.2Bil,57.8Mil,1.0Bil,"5,507",Industrials,Business Services
NVGS,Navigator Holdings Ltd,"Navigator Holdings Ltd owns and operates a fleet of handysize liquefied gas carriers. It provides seaborne transportation services of liquefied petroleum gas, petrochemical gases and ammonia for energy companies, industrial users and commodity traders.",,http://www.navigatorgas.com,0.5Bil,60.7Mil,0.3Bil,37,Industrials,Shipping & Ports
NNA,Navios Maritime Acquisition Corp,"Navios Maritime Acquisition Corp owns a fleet of modern crude oil, refined petroleum product and chemical tankers providing world-wide marine transportation services.",,http://www.navios-acquisition.com,0.3Bil,79.3Mil,0.3Bil,4,Industrials,Shipping & Ports
NM,Navios Maritime Holdings Inc,"Navios Maritime Holdings Inc is a seaborne shipping and logistics company focused on the transport and transshipment of drybulk commodities including iron ore, coal and grain. It operates in two segments; Dry bulk Vessel Operations and Logistics.",,http://www.navios.com,0.2Bil,-116.5Mil,0.5Bil,553,Industrials,Shipping & Ports
NMM,Navios Maritime Partners LP,"Navios Maritime Partners LP is an owner and operator of dry cargo and container vessels. It is engaged in the seaborne transportation services of dry cargo commodities including iron ore, coal, grain, fertilizer and also containers.",,http://www.navios-mlp.com,0.2Bil,-42.7Mil,0.2Bil,186,Industrials,Shipping & Ports
NAV,Navistar International Corp,"Navistar International Corp is a manufacturer of commercial & military trucks, diesel engines, buses, as well as a provider of service parts for trucks & diesel engines. It also provides retail, wholesale & lease financing services for trucks and parts.",Distressed,http://www.navistar.com,2.4Bil,-113.0Mil,8.5Bil,"14,400",Industrials,Truck Manufacturing
NCS,NCI Building Systems Inc,"NCI Building Systems Inc is an integrated manufacturers and marketers of metal products for the nonresidential construction industry. The Company's products are used in repair, retrofit and new construction activities, in North America.",Cyclical,http://www.ncilp.com,1.2Bil,50.4Mil,1.7Bil,"5,326",Basic Materials,Building Materials
NCR,NCR Corp,"NCR Corp is a technology company providing products & services enabling businesses to connect, interact & transact with customer. Its products include ATM & financial services software, point of sale devices, self-service kiosks & software applications.",Classic,http://www.ncr.com,4.8Bil,0.2Bil,6.4Bil,"32,600",Technology,Information Technology Services
NP,Neenah Paper Inc,"Neenah Paper Inc is a producer of filtration media and other durable, saturated, and coated substrates, and also premium, specialty and sustainable papers used for premium writing, text, cover, private watermarks.",Cyclical,http://www.neenah.com,1.4Bil,68.6Mil,1.0Bil,"2,340",Basic Materials,Paper & Paper Products
NEFF,Neff Corp Class A,"Neff Corp owns and operates equipment rental locations in five regions in the United States: Florida, Atlantic, Central, Southeastern and Western. It also sells used equipment, parts and merchandise and provides ongoing repair and maintenance services.",Cyclical,http://www.neffrental.com,0.4Bil,9.4Mil,0.4Bil,"1,100",Industrials,Rental & Leasing Services
NNI,Nelnet Inc Class A,"Nelnet Inc provides educational services in loan servicing, payment processing, education planning, and asset management. The Company also provides federally insured student loans.",Cyclical,http://www.nelnetinvestors.com,2.1Bil,0.2Bil,0.8Bil,"3,400",Financial Services,Credit Services
NPTN,NeoPhotonics Corp,"NeoPhotonics Corp is a designer and manufacturer of optoelectronic products that transmit, receive and switch high speed digital optical signals for communications networks.",Cyclical,http://www.neophotonics.com,0.6Bil,-1.8Mil,0.4Bil,"2,304",Technology,Semiconductors
NSR,NeuStar Inc,"NeuStar Inc offers authoritative, hard-to-replicate data sets and proprietary analytics that provide insights to help clients promote and protect their businesses.",Cyclical,http://www.neustar.biz,1.4Bil,0.2Bil,1.2Bil,"2,125",Industrials,Business Services
NVRO,Nevro Corp,Nevro Corp is a medical device company. It is engaged in developing and commercialization of neuromodulation platform for the treatment of chronic pain.,Distressed,http://www.nevro.com,2.6Bil,-36.1Mil,0.2Bil,308,Healthcare,Medical Devices
NWHM,The New Home Company Inc,"The New Home Company Inc is a homebuilding company. It is engaged in the design, construction and sale of consumer-driven homes in metropolitan areas within select growth markets in California and Arizona.",Cyclical,http://www.nwhm.com,0.2Bil,19.5Mil,0.6Bil,272,Consumer Cyclical,Residential Construction
NEWM,New Media Investment Group Inc,"New Media Investment Group Inc is a print and online media company. It owns, operates and invests 564 community print publications, 489 websites, 476 mobile sites and six yellow page directories.",High,http://www.newmediainv.com,0.7Bil,73.5Mil,1.3Bil,"9,509",Consumer Cyclical,Publishing
EDU,New Oriental Education & Technology Group Inc ADR,"New Oriental Education & Technology Group Inc provides private educational services in China based on the number of program offerings, total student enrollments and geographic presence.",,http://www.neworiental.org,7.9Bil,0.2Bil,1.6Bil,"36,683",Consumer Defensive,Education & Training Services
NEWR,New Relic Inc,"New Relic Inc is a software-as-a-service provider of software analytics products which allow users to monitor software performance with .NET, Java, JavaScript, Node.js, PHP, Python, and Ruby applications deployed in a cloud or in a data center.",Speculative,http://www.newrelic.com,1.8Bil,-69.8Mil,0.2Bil,"1,013",Technology,Software - Infrastructure
NRZ,New Residential Investment Corp,"New Residential Investment Corp, is a real estate investment trust. It is engaged in investing in, and managing, investments related to residential real estate.",Hard,http://www.newresi.com,3.7Bil,0.4Bil,0.6Bil,,Real Estate,REIT - Residential
SNR,New Senior Investment Group Inc,New Senior Investment Group Inc operates as a real estate investment trust with a diversified portfolio of senior housing properties located across the United States. Its operating business segments are Managed Properties and Triple Net Lease Properties.,Distressed,http://www.newseniorinv.com,0.8Bil,-91.5Mil,0.5Bil,,Real Estate,REIT - Diversified
NWY,New York & Co Inc,"New York & Co Inc together with its subsidiaries is a specialty retailer of women's fashion apparel & accessories & the modern wear-to-work destination for women. It provides fitting pants & NY Style that is feminine, polished, on-trend & versatile.",Cyclical,http://www.nyandcompany.com,0.1Bil,-10.0Mil,0.9Bil,"6,282",Consumer Cyclical,Apparel Stores
NYRT,New York REIT Inc,"New York REIT Inc is a real estate investment trust engaged in acquiring and owning office and retail properties in Manhattan, which is a liquid real estate market in the United States.",Hard,http://www.nyrt.com,1.6Bil,-64.8Mil,0.2Bil,,Real Estate,REIT - Office
NYT,New York Times Co Class A,"New York Times Co is a media organization engaged in creating, collecting and distributing news and information. The Company is involved in newspapers, digital businesses and investments in paper mills.",Cyclical,http://www.nytco.com,2.0Bil,43.6Mil,1.6Bil,"3,560",Consumer Cyclical,Publishing
NCT,Newcastle Investment Corp,"Newcastle Investment Corp is a real estate investment trust (REIT) that focuses on opportunistically investing in, and actively managing, a variety of real estate related and other investments.",Distressed,http://www.newcastleinv.com,0.3Bil,93.0Mil,0.4Bil,"4,400",Real Estate,REIT - Diversified
NWL,Newell Brands Inc,"Newell Brands Inc is a marketer of consumer & commercial products. Its products include markers & highlighters, pens & pencils, art products, food storage & home storage products, industrial bandsaw blades, strollers & hygiene systems, among others.",Slow,http://www.newellbrands.com,22.5Bil,0.4Bil,10.7Bil,"17,200",Consumer Defensive,Household & Personal Products
NFX,Newfield Exploration Co,"Newfield Exploration Co is an independent exploration & production company engaged in the exploration, development & production of crude oil, natural gas & NGL. Its areas of operation include Mid-Continent, Rocky Mountains & onshore Gulf Coast.",Distressed,http://www.newfield.com,8.0Bil,-1906.0Mil,1.4Bil,"1,111",Energy,Oil & Gas E&P
NJR,New Jersey Resources Corp,New Jersey Resources Corp is an energy services holding company engaged in the distribution of natural gas through a regulated utility. It provides other retail and wholesale energy services to customers and invests in midstream assets.,Slow,http://www.njresources.com,2.8Bil,0.1Bil,1.8Bil,991,Utilities,Utilities - Regulated Gas
NEU,NewMarket Corp,"NewMarket Corp manufactures and sells petroleum additives used in lubricating oils and fuels to enhance their performance in machinery, vehicles, and other equipment. The petroleum additives market has two products: lubricant additives and fuel additives.",Cyclical,http://www.newmarket.com,4.9Bil,0.3Bil,2.0Bil,"1,979",Basic Materials,Specialty Chemicals
NEM,Newmont Mining Corp,"Newmont Mining Corp is engaged in the production of and exploration for gold and copper. It is also engaged in the production of copper, mainly through its Batu Hijau operation in Indonesia and Boddington operation in Australia.",Hard,http://www.newmont.com,17.4Bil,-537.0Mil,8.0Bil,"15,600",Basic Materials,Gold
NR,Newpark Resources Inc,"Newpark Resources Inc is an oil and gas supplier providing products and services to the oil and gas exploration industry serving customers in North America, Europe, the Middle East and Africa, Latin America and Asia Pacific regions.",Hard,,0.6Bil,-123.8Mil,0.5Bil,"1,980",Energy,Oil & Gas Equipment & Services
NXRT,NexPoint Residential Trust Inc,"NexPoint Residential Trust Inc is engaged in directly or indirectly acquiring, owning, and operating well-located multifamily properties with a value-add component in suburban submarkets and in the Southeastern and Southwestern United States.",Distressed,http://www.nexpointliving.com,0.4Bil,19.5Mil,0.1Bil,,Real Estate,REIT - Diversified
NEP,NextEra Energy Partners LP,"NextEra Energy Partners LP is a limited partnership formed to acquire, manage and own contracted clean energy projects with stable long-term cash flows.",Aggressive,http://www.nexteraenergypartners.com,1.4Bil,0.2Bil,0.7Bil,,Utilities,Utilities - Independent Power Producers
NEE,NextEra Energy Inc,"NextEra Energy Inc through its wholly owned subsidiary is an electric power company in North America, with approximately 46,400 MW of generating capacity in 27 states in the U.S. and 4 provinces in Canada.",Classic,http://www.nexteraenergy.com,53.3Bil,2.5Bil,16.5Bil,"8,800",Utilities,Utilities - Regulated Electric
NGL,NGL Energy Partners LP,"NGL Energy Partners LP purchases propane, butane, and other natural gas liquids from refiners, processing plants, producers, and other parties, and sells the product to retailers, refiners, and other participants in the wholesale markets.",Hard,http://www.nglenergypartners.com,2.0Bil,-236.8Mil,10.8Bil,"3,200",Energy,Oil & Gas Refining & Marketing
NLSN,Nielsen Holdings PLC,Nielsen Holdings PLC is a performance management company. The Company and its subsidiaries help its clients to enhance their interactions with consumers and make critical business decisions that it believe positively affect their sales and profitability.,,http://www.nielsen.com,15.2Bil,0.6Bil,6.3Bil,"43,000",Industrials,Business Services
NKE,Nike Inc B,"Nike Inc designs, develops and markets footwear, apparel, equipment, and accessory products. It is a seller of athletic footwear and athletic apparel. It sells its products through NIKE-owned in-line and factory retail stores and internet websites.",Cyclical,http://www.nike.com,85.1Bil,3.8Bil,33.0Bil,"70,700",Consumer Cyclical,Footwear & Accessories
NMBL,Nimble Storage Inc,Nimble Storage Inc designs & sells a flash-optimized hybrid storage platform that it believes is disrupting the market by enabling improvements in application performance and storage capacity with data protection.,Cyclical,http://www.nimblestorage.com,0.8Bil,-143.6Mil,0.4Bil,"1,104",Technology,Data Storage
NTT,Nippon Telegraph & Telephone Corp ADR,"Nippon Telegraph & Telephone Corp is engaged in providing regional communications, long-distance and international communications, mobile communications and data communication services in Japan.",,http://www.ntt.co.jp,79.0Bil,7.6Bil,103.7Bil,"241,450",Communication Services,Telecom Services
NI,NiSource Inc,"NiSource Inc is an energy holding company, whose subsidiaries are fully regulated natural gas and electric utility companies serving customers in seven states.",Slow,http://www.nisource.com,7.0Bil,0.3Bil,4.3Bil,"7,596",Utilities,Utilities - Regulated Gas
NL,NL Industries Inc,"NL Industries Inc is a holding company and operates in the component products industry through its majority owned subsidiary, CompX International Inc. The Company operates in the chemicals industry through its interest in Kronos Worldwide, Inc.",Cyclical,http://www.nl-ind.com,0.3Bil,0.1Mil,0.1Bil,512,Industrials,Industrial Distribution
NOAH,Noah Holdings Ltd ADR,Noah Holdings Ltd is an independent service provider. The Company is focused on wealth investment and asset allocation services for high net worth individuals and enterprises in China. It also provides internet finance services to clients in China.,,http://www.noahwm.com,1.4Bil,90.0Mil,0.4Bil,"2,688",Financial Services,Asset Management
NE,Noble Corp PLC,Noble Corp PLC is an offshore drilling contractor for the oil and gas industry. It performs contract drilling services with its fleet of mobile offshore drilling units.,,http://www.noblecorp.com,1.3Bil,0.2Bil,2.7Bil,"3,300",Energy,Oil & Gas Drilling
NBL,Noble Energy Inc,"Noble Energy Inc is an independent energy company. The Company engaged in crude oil, natural gas and natural gas liquids (NGLs) exploration and production.",Hard,http://www.nobleenergyinc.com,15.0Bil,-2774.0Mil,3.3Bil,"2,395",Energy,Oil & Gas E&P
NBLX,Noble Midstream Partners LP,"Noble Midstream Partners LP provides crude oil, natural gas, and water-related midstream services through long-term, fixed-fee contracts.",Hard,http://www.nblmidstream.com,1.0Bil,69.0Mil,0.2Bil,80,Energy,Oil & Gas Midstream
NOK,Nokia Oyj ADR,Nokia Oyj is a mobile communications company. Its main businesses (Nokia Networks & Nokia Technologies) following the Sale of the HERE Business. Its reportable segments are: Mobile Broadband & Global Services and Nokia Technologies.,,http://www.nokia.com,24.1Bil,0.4Bil,21.8Bil,"55,718",Technology,Communication Equipment
NOMD,Nomad Foods Ltd,"Nomad Foods Ltd is a frozen foods company. The Company along with its subsidiaries produces, markets and distributes brands in approximately 15 countries and has a market share in Western Europe. Its brands includes Birdseye, Iglo, and Findus.",,http://www.nomadfoods.com,2.0Bil,-184.3Mil,,"4,395",Consumer Defensive,Packaged Foods
NMR,Nomura Holdings Inc ADR,"Nomura Holdings Inc is a financial services company in Japan. Its clients include individuals, corporations, financial institutions, governments and governmental agencies.",,http://www.nomura.com,19.1Bil,1.1Bil,11.9Bil,"28,654",Financial Services,Capital Markets
OSB,Norbord Inc,"Norbord Inc is a producer of wood-based panels with 17 plant locations in the United States, Europe and Canada. The Company also manufactures oriented strand board, particleboard, medium density fibreboard and related value-added products.",,http://www.norbord.com,2.0Bil,0.1Bil,1.7Bil,"2,600",Basic Materials,Lumber & Wood Production
NORD,Nord Anglia Education Inc,"Nord Anglia Education Inc is the operator of premium international schools. The Company teaches students from kindergarten through the end of secondary school at its 42 premium schools in China, Europe, ME/SEA and North America.",,http://www.nordanglia.com,2.5Bil,14.2Mil,0.8Bil,"7,131",Consumer Defensive,Education & Training Services
NAO,Nordic American Offshore Ltd,"Nordic American Offshore Ltd is engaged in acquiring and operating platform supply vessels, or PSVs, with operations in the North Sea.",,http://www.naoffshore.com,65.2Mil,-26.8Mil,22.1Mil,5,Industrials,Shipping & Ports
NAT,Nordic American Tankers Ltd,Nordic American Tankers Ltd formerly Nordic American Tanker Shipping Limited is an international tanker company that owns double-hull Suezmax tankers.,,http://www.nat.bm,0.9Bil,64.9Mil,0.4Bil,23,Industrials,Shipping & Ports
JWN,Nordstrom Inc,"Nordstrom Inc operates as a fashion specialty retailer, with stores located in US, as well as is engaged in e-commerce business through Nordstrom.com, Nordstromrack.com/HauteLook and TrunkClub.com.",Cyclical,http://www.nordstrom.com,10.2Bil,0.4Bil,14.4Bil,"72,500",Consumer Cyclical,Department Stores
NSC,Norfolk Southern Corp,"Norfolk Southern Corp is engaged in the rail transportation of raw materials, intermediate products, & finished goods in the Southeast, East, and Midwest and, via interchange with rail carriers, to and from the rest of the United States.",Cyclical,http://www.nscorp.com,30.2Bil,1.6Bil,9.9Bil,,Industrials,Railroads
NTL,Nortel Inversora SA ADR,"Nortel Inversora SA, through its subsidiaries provides fixed-line public telecommunication services, international long-distance service, data transmission and internet services.",,http://www.nortelsa.com.ar,3.1Bil,0.1Bil,3.3Bil,5,Communication Services,Telecom Services
NOA,North American Energy Partners Inc,"North American Energy Partners Inc provides mining and heavy construction services to customers in the resource development and industrial construction sectors, within Western Canada.",,http://www.nacg.ca,0.1Bil,-0.5Mil,0.2Bil,809,Energy,Oil & Gas Equipment & Services
NADL,North Atlantic Drilling Ltd,North Atlantic Drilling Ltd is engaged in providing offshore drilling services to the oil and gas industry. The Company currently operates exclusively in Norway and the United Kingdom.,,http://www.nadlcorp.com,63.2Mil,-116.5Mil,0.7Bil,"1,082",Energy,Oil & Gas Drilling
NRT,North European Oil Royalty Trust,North European Oil Royalty Trust is a grantor trust. The Company holds overriding royalty rights covering gas and oil production in certain concessions or leases in the Federal Republic of Germany.,Hard,http://www.neort.com,65.5Mil,7.2Mil,8.0Mil,2,Energy,Oil & Gas Equipment & Services
NOC,Northrop Grumman Corp,"Northrop Grumman Corporation is a security company providing systems, products and solutions in unmanned systems, cyber security; command, control, communications and computers (C4) intelligence, surveillance, and reconnaissance.",Cyclical,http://www.northropgrumman.com,43.3Bil,2.1Bil,23.8Bil,"65,000",Industrials,Aerospace & Defense
NSAM,NorthStar Asset Management Group Inc,NorthStar Asset Management Group Inc is an asset management company focused on strategically managing real estate and other investment platforms in the United States and internationally.,Cyclical,http://www.nsamgroup.com,2.7Bil,72.2Mil,0.4Bil,383,Financial Services,Asset Management
NRE,NorthStar Realty Europe Corp,"NorthStar Realty Europe Corp is an European commercial real estate company. It operates as a real estate investment trust. Its portfolio includes office properties located in European markets, including Berlin, Frankfurt, Hamburg, London, and Amsterdam.",Distressed,http://www.nrecorp.com,0.6Bil,-108.9Mil,0.2Bil,,Real Estate,REIT - Office
NRF,NorthStar Realty Finance Corp,NorthStar Realty Finance Corp is a diversified commercial real estate company. It invests in multiple asset classes across commercial real estate that it expects will generate risk-adjusted returns and may take the form of acquiring real estate.,Hard,http://www.nrfc.com,2.6Bil,-349.2Mil,2.0Bil,301,Real Estate,REIT - Retail
NWN,Northwest Natural Gas Co,"Northwest Natural Gas along with its subsidiaries distributes natural gas in Oregon, Washington and California. The Company has two business segments: Utility segment and Gas Storage segment.",Slow,https://www.nwnatural.com,1.6Bil,60.3Mil,0.7Bil,"1,061",Utilities,Utilities - Regulated Gas
NWE,NorthWestern Corp,"NorthWestern Corp provides electricity & natural gas in Montana, South Dakota & Nebraska. The company generates and distributes electricity in South Dakota and distributes natural gas in South Dakota and Nebraska.",Classic,http://www.northwesternenergy.com,2.7Bil,0.2Bil,1.3Bil,"1,608",Utilities,Utilities - Diversified
NVS,Novartis AG ADR,"Novartis AG is engaged in the research, development, manufacturing and marketing of healthcare products and pharmaceuticals.",,http://www.novartis.com,167.8Bil,6.8Bil,49.6Bil,"118,000",Healthcare,Drug Manufacturers - Major
NVO,Novo Nordisk A/S ADR,"Novo Nordisk A/S is a healthcare company that is engaged in the discovery, development, manufacturing and marketing of pharmaceutical products. The Company has two business segments: diabetes & obesity care and biopharmaceuticals.",,http://www.novonordisk.com,84.3Bil,5.3Bil,15.8Bil,"42,600",Healthcare,Biotechnology
DNOW,NOW Inc,"NOW Inc is a distributor to energy products and products for industrial applications. Its products includes consumable maintenance, repair and operating supplies, pipe, valves, fittings, flanges, electrical, artificial lift solutions, pumps, mill tools.",Hard,http://www.distributionnow.com,2.1Bil,-412.0Mil,2.2Bil,"4,500",Energy,Oil & Gas Equipment & Services
NQ,NQ Mobile Inc ADR,"NQ Mobile Inc through its subsidiaries is engaged in the provision of mobile Internet services in the People's Republic of China and overseas market. Its service portfolio includes mobile security and privacy protection, mobile games and advertising.",,http://www.nq.com,0.3Bil,10.1Mil,0.4Bil,"1,019",Technology,Software - Application
NRG,NRG Energy Inc,"NRG Energy Inc is engaged in ownership & operation of power generation facilities; the trading of energy, capacity & related products; transacting in & trading of fuel & transportation services & the direct sale of energy, services to retail customers.",Speculative,http://www.nrgenergy.com,3.5Bil,-6101.0Mil,12.8Bil,"10,468",Utilities,Utilities - Independent Power Producers
NYLD,NRG Yield Inc C,"NRG Yield Inc is a dividend growth-oriented company. The Company owns, operates and acquires contracted renewable and conventional generation and thermal infrastructure assets .",High,http://www.nrgyield.com,2.8Bil,81.0Mil,0.9Bil,,Utilities,Utilities - Regulated Electric
DCM,NTT DOCOMO Inc ADR,"NTT DOCOMO Inc and its subsidiaries provides wireless telecommunications services. Its business segments include telecommunications business, smart life business and other businesses.",,http://www.nttdocomo.co.jp,81.9Bil,5.8Bil,41.6Bil,"26,129",Communication Services,Telecom Services
NUS,Nu Skin Enterprises Inc Class A,Nu Skin Enterprises Inc develops and distributes consumer products including beauty and wellness solutions. It develops anti-aging personal care products and nutritional supplements under its Nu Skin and Pharmanex category brands.,Slow,http://www.nuskin.com,2.9Bil,0.1Bil,2.2Bil,"26,800",Consumer Defensive,Household & Personal Products
NUE,Nucor Corp,Nucor Corp and its affiliates are engaged in the manufacturing of steel and steel products. The Company also produces direct reduced iron for use in the its steel mills.,Cyclical,http://www.nucor.com,18.7Bil,0.5Bil,15.7Bil,"23,700",Basic Materials,Steel
NS,NuStar Energy LP,"NuStar Energy LP is engaged in refining, marketing and operating petroleum product terminals and petroleum liquids pipelines.",Hard,http://www.nustarenergy.com,3.7Bil,0.2Bil,1.7Bil,"1,644",Energy,Oil & Gas Midstream
NSH,NuStar GP Holdings LLC,"NuStar GP Holdings LLC is engaged in refining, marketing and operating petroleum product terminals and petroleum liquids pipelines. It manages its operations through the three operating segments, storage, pipeline and marketing.",Hard,http://www.nustargpholdings.com,1.1Bil,62.0Mil,66.8Mil,"1,251",Energy,Oil & Gas Midstream
NSS,NSS Resources Inc,"NSS Resources Inc is a mineral exploration company. The Company is engaged in the exploration and evaluation of mineral properties in British Columbia, Canada. It owns the Seneca property located near Harrison Lake.",,http://www.nssresources.net,,-0.1Mil,,,Basic Materials,Industrial Metals & Minerals
NVR,NVR Inc,"NVR Inc is engaged in the construction and sale of single-family detached homes, town homes and condominium buildings. The Company through its subsidiaries also operates in mortgage banking and title services business.",Cyclical,,6.1Bil,0.4Bil,5.6Bil,"4,300",Consumer Cyclical,Residential Construction
OAK,Oaktree Capital Group LLC,"Oaktree Capital Group LLC is an investment management company. The Company invests in distressed debt, corporate debt, control investing, convertible securities, real estate and listed equities.",Cyclical,http://www.oaktreecapital.com,6.3Bil,0.1Bil,0.9Bil,924,Financial Services,Asset Management
OAS,Oasis Petroleum Inc,Oasis Petroleum Inc is an independent exploration and production company focused on the acquisition and development of unconventional oil and natural gas resources in the North Dakota and Montana regions of the Williston Basin.,Hard,http://www.oasispetroleum.com,2.9Bil,-184.4Mil,0.7Bil,535,Energy,Oil & Gas E&P
OXY,Occidental Petroleum Corp,"Occidental Petroleum Corp is a multinational organization whose subsidiaries and affiliates operate in the oil and gas, chemical and midstream, marketing & other segments.",Distressed,http://www.oxy.com,52.1Bil,-5480.0Mil,10.4Bil,"11,100",Energy,Oil & Gas E&P
OII,Oceaneering International Inc,"Oceaneering International Inc is an oilfield provider of engineered services and products to the offshore oil and gas industry, with a focus on deepwater applications.",Hard,http://www.oceaneering.com,2.5Bil,63.1Mil,2.5Bil,"11,000",Energy,Oil & Gas Equipment & Services
OZM,Och-Ziff Capital Management Group LLC,Och-Ziff Capital Management Group LLC is an alternative asset management firm. The Company provides asset management services to its investment funds.,Distressed,http://www.ozcap.com,1.5Bil,-155.9Mil,0.8Bil,659,Financial Services,Asset Management
OCIP,OCI Partners LP,OCI Partners LP owns and operates integrated methanol and ammonia production facilities located on the Texas Gulf Coast near Beaumont. The Company sells its products to industrial users and commercial traders.,Cyclical,http://www.ocipartnerslp.com,0.4Bil,-18.7Mil,0.3Bil,120,Basic Materials,Chemicals
OCN,Ocwen Financial Corp,"Ocwen Financial Corp is a financial services holding company. The Company through its subsidiaries provides residential and commercial mortgage loan servicing, special servicing and asset management services.",Cyclical,http://www.ocwen.com,0.6Bil,-413.6Mil,1.4Bil,"10,500",Financial Services,Specialty Finance
OFG,OFG Bancorp,"OFG Bancorp through its subsidiaries provides commercial, consumer & mortgage lending, leasing, auto loans, financial planning, insurance sales, money management & investment banking, brokerage services; & corporate & individual trust services.",,http://www.orientalbank.com,0.6Bil,42.7Mil,0.4Bil,"1,466",Financial Services,Banks - Regional - US
OGE,OGE Energy Corp,"OGE Energy Corp, together with its subsidiaries, operates as an energy and energy services provider. It offers physical delivery and related services for electricity and natural gas in the south central United States.",High,http://www.oge.com,6.2Bil,0.3Bil,2.2Bil,"2,586",Utilities,Utilities - Regulated Electric
OIS,Oil States International Inc,"Oil States International Inc provides products & services to oil & natural gas companies. It operates in oil & natural gas producing regions, including onshore & offshore U.S., Canada, West Africa, North Sea, South America and Southeast & Central Asia.",Distressed,http://www.oilstatesintl.com,1.7Bil,-34.6Mil,0.8Bil,"3,586",Energy,Oil & Gas Equipment & Services
ODC,Oil-Dri Corp of America,"Oil-Dri Corp of America develops, manufactures and markets sorbent products. Its products are produced from clay minerals, consisting of montmorillonite and attapulgite.",Cyclical,http://www.oildri.com,0.3Bil,13.6Mil,0.3Bil,767,Basic Materials,Specialty Chemicals
ORI,Old Republic International Corp,"Old Republic International Corporation is engaged in insurance underwriting and related services. It conducts its operations through General Insurance, Title Insurance, and the Republic Financial Indemnity and consumer credit indemnity Run-off Business.",High,http://www.oldrepublic.com,4.7Bil,0.4Bil,5.8Bil,"8,200",Financial Services,Insurance - Diversified
OLN,Olin Corp,"Olin Corp is manufactures and sells chlor alkali products. It is engaged in three segments Chlor Alkali Products, Epoxy and Winchester.",High,http://www.olin.com,4.2Bil,-84.1Mil,5.4Bil,"6,200",Basic Materials,Specialty Chemicals
OMAM,OM Asset Management PLC,"OM Asset Management PLC is a diversified, multi-boutique asset management firm. The Company through its affiliates offers actively-managed investment strategies and products to institutional investors.",,https://www.oldmutualus.com,1.8Bil,0.1Bil,0.6Bil,"1,163",Financial Services,Asset Management
OHI,Omega Healthcare Investors Inc,"Omega Healthcare Investors Inc is a self-administered real estate investment trust. The Company is engaged in investing in income-producing healthcare facilities, including long-term care facilities located in the United States and United Kingdom.",Hard,http://www.omegahealthcare.com,5.5Bil,0.3Bil,0.9Bil,58,Real Estate,REIT - Healthcare Facilities
OME,Omega Protein Corp,"Omega Protein Corp is a nutritional ingredient company. It develops, produces and delivers healthy products throughout the world to improve nutritional integrity of foods, dietary supplements and animal feeds.",Slow,http://www.omegaproteininc.com,0.5Bil,31.5Mil,0.4Bil,627,Consumer Defensive,Packaged Foods
OMC,Omnicom Group Inc,"Omnicom Group Inc is an advertising, marketing and corporate communications company. The Company provides professional services to clients through multiple agencies.",Cyclical,http://www.omnicomgroup.com,20.0Bil,1.1Bil,15.3Bil,"74,900",Consumer Cyclical,Advertising Agencies
OMN,Omnova Solutions Inc,"Omnova Solutions Inc is engaged in producing emulsion polymers, specialty chemicals, and engineered surfaces for commercial, industrial, and residential end uses. Its products include chemicals, pool liner films, laminates, and upholstery.",Cyclical,http://www.omnova.com,0.4Bil,-8.1Mil,0.8Bil,"1,950",Basic Materials,Specialty Chemicals
ASGN,On Assignment Inc,"On Assignment Inc provides skilled and professionals in the growing life sciences, healthcare, and technology sectors. The Company's operating business segments are Apex and Oxford.",Cyclical,http://www.onassignment.com,2.2Bil,92.5Mil,2.4Bil,"3,320",Industrials,Staffing & Outsourcing Services
ONDK,On Deck Capital Inc,"On Deck Capital Inc along with its subsidiaries is engaged in providing financing products to small businesses located throughout the United States, including term loans and lines of credit.",Cyclical,https://www.ondeck.com,0.3Bil,-51.7Mil,0.3Bil,718,Financial Services,Credit Services
OGS,ONE Gas Inc,"ONE Gas Inc is engaged in the business of natural gas distribution. The Company serves residential, commercial, industrial, transportation and wholesale and public authority customers in Oklahoma, Kansas, and Texas.",Classic,http://www.onegas.com,3.1Bil,0.1Bil,1.4Bil,"3,400",Utilities,Utilities - Regulated Gas
OLP,One Liberty Properties Inc,"One Liberty Properties Inc is a self-administered & self-managed real estate investment trust. It acquires, owns and manages a geographically diversified portfolio of retail, industrial, flex, health and fitness, and other properties.",Hard,http://www.onelibertyproperties.com,0.4Bil,25.2Mil,70.1Mil,9,Real Estate,REIT - Diversified
